"id","name","registryName","inventory","category","slot","visualChange","goldPrice","reputationPrice","classRequired","itemLvl","attackType","minimumDamage","maximumDamage","critChance","critDamage","hitrate","booleanhighBadEffectPrevention","hpRecoveryIncrease","elementIncreased","elementIncreasedAmount","allDefenceIncrease","rangedHitrateIncrease","damageIncreaseAmountPercentage","damageIncreaseProbability","allElementsIncrease","maxMPIncrease","rangedAttackIncrease","meleeAttackIncrease","meleeAttacksDodge","allAttackIncrease","allAttackIncreasePercentage","magicAttackIncrease","skillManaDecrease","MPRecoveryIncrease","booleannoImpactOnMorale","maximumHPIncrease","moraleIncrease","rangedAttackDodge","resistanceType","resistanceAmount","magicDefenceIncrease","criticalChanceIncrease","randomDefencePercentage","randomDefenceChance","randomDefenceType","attacksBelowType","attacksBelowLevel","attacksBelowPercentage","effectWhen","effectChance","effectName","resistanceAll","elementDecreased","elementDecreasedAmount","dodgeIncrease","attackLevelIncrease","defenceLevelIncrease","damageDecreasePercentage","allDefencesIncreasePercentage","booleanGeneratesResistanceToCertainEffect","booleanCertainMonsterGroupsMistakeYouAsAFriend","criticalHitsChanceDecreasePercentage","selfIncreasedDamageAgainst","selfIncreasedDamageAgainstAmount","criticalHitDamageIncreasePercentage","enemyElementalResistanceDecrease","criticalHitDamageDecreasePercentage","attackLeechHPAmount","attackLeechHPChance","attackLeechMPChance","attackLeechMPAmount","attackLeechMPChance2","attackLeechMPAmount2","meleeDamageDecreasePercentage","attackDecreaseMP","enemyResistanceDecreaseType","enemyResistanceReducedAmount","attackIncreasedDamageAgainst","attackIncreasedDamageAgainstAmount","concentrationIncreaseAmount","defenceIncreaseAmount","defenceIncreaseType","belowLevelNeverBadGeneralEffectLevel","belowLevelNeverBadGeneralEffectPercentage","magicAttackPowerDecrease","rangeDamageDecreasePercentage","magicDamageDecreasePercentage","movementSpeedIncreasePercentage","movementSpeedDecrease","movementSpeedIncrease","allAttacksHitrateIncreas","nextAttackPointsLevelMultiplier","HPRestore","MPRestore","HPRestorePercentage","MPRestorePercentage","HPDecrease","MPDecrease","booleanScrollSafe","booleanScrollLowerSPProtection","booleanScrollHigherSPProtection","summonName","summonAmount","booleanCancelEffectsForACertainGroup","additionalMPReceived","additionalMPReceivedMaximumPercentage","additionalHPReceivedMaximumPercentage","additionalHPReceived","effectResistancePercentage","effectResistanceName","goldEarnedIncreasePercentage","experienceEarnedIncreasePercentage","defenceAllyEffectRadius","defenceAllyEffectChance","defenceAllyEffectName","pvpAttackPowerIncrease","recoveryItemsEffectivenessIncrease","defenceBadEffectRemovalPercentage","defenceBadEffectRemovalLevel","badEffectRemovalLevel","badEffectRemovalPercentage","damageIncreaseForMonstersAboveLevelPercentage","damageIncreaseForMonstersAboveLevelAmount","movementSpeedIncreaseWhenHidden","pvpDefencePowerIncrease","skillUsedResetChance","skillCooldownDecreasePercentage","concentrationIncreasePlayerLevelMultiplier","hitrateIncreasePlayerLevelMultiplier","fameReceivedIncreasePercentage","resistsForcedMovementChance","defenceIncreasePlayerLevelMultiplier","defenceIncreasePlayerLevelMultiplierType","deathReputationLostDecreasePercentage","championExperienceIncreasePercentage","demonMaxDamageIncrease","angelMaxDamageIncrease","criticalDamageReceivedDecreaseChance","criticalDamageReceivedDecreasePercentage","targetDefenceIgnorePercentage","targetDefenceIgnoreChance","championExperienceLostOnDeathReducePercentage","effectRemoveName","effectRemoveChance","elementIncreased_1","elementIncreasedAmount_1","randomDefenceType_1","randomDefenceChance_1","randomDefencePercentage_1","resistanceType_1","resistanceAmount_1","selfIncreasedDamageAgainstAmount_1","selfIncreasedDamageAgainst_1","enemyResistanceDecreaseType_1","enemyResistanceReducedAmount_1","effectResistancePercentage_1","effectResistanceName_1","effectWhen_1","effectName_1","effectChance_1"
"12","Clothing","clothing","Wear","General costumes","clothes","0","90",,"adventurer","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13","Training Uniform","training_uniform","Wear","General costumes","clothes","0","330",,"adventurer","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14","Adventurer's Uniform","adventurers_uniform","Wear","General costumes","clothes","1","1280",,"adventurer","8",,,,,,,"Self >> High probability of preventing a bad effect",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15","Training Uniform","training_uniform_1","Wear","General costumes","clothes","1","2299",,"adventurer","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16","Adventurer's Cloak Set","adventurers_cloak_set","Wear","General costumes","clothes","2","3388",,"adventurer","14",,,,,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17","Warm Cloak Set","warm_cloak_set","Wear","General costumes","clothes","2","4675",,"adventurer","17",,,,,,,"Self >> High probability of preventing a bad effect",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18","Beginner's Sword","beginners_sword","Wear","One-handed sword","main weapon","0","3465",,"swordsman","15","Melee attack","90","100","6","50","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19","Short Sword","short_sword","Wear","One-handed sword","main weapon","0","6240",,"swordsman","20","Melee attack","90","110","6","50","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20","Sword of Pain","sword_of_pain","Wear","One-handed sword","main weapon","1","9984",,"swordsman","26","Melee attack","109","146","10","50","124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21","Short Sword","short_sword_1","Wear","One-handed sword","main weapon","0","12180",,"swordsman","29","Melee attack","123","149","6","50","136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22","Bronze Sword","bronze_sword","Wear","One-handed sword","main weapon","1","17680",,"swordsman","34","Melee attack","131","181","11","100","156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23","Sabre","sabre","Wear","One-handed sword","main weapon","1","19656",,"swordsman","36","Melee attack","148","180","6","50","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","Broad Sword of Spirit","broad_sword_of_spirit","Wear","One-handed sword","main weapon","2","25760",,"swordsman","40","Melee attack","152","178","8","75","180",,,"Fire","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25","Falchion","falchion","Wear","One-handed sword","main weapon","1","28224",,"swordsman","42","Melee attack","170","206","6","50","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26","Golden Sabre","golden_sabre","Wear","One-handed sword","main weapon","2","33488",,"swordsman","46","Melee attack","184","229","12","80","204",,,"Fire","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27","Broadsword","broadsword","Wear","One-handed sword","main weapon","2","36288",,"swordsman","48","Melee attack","191","233","6","50","212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28","Longsword of Power","longsword_of_power","Wear","One-handed sword","main weapon","3","45240",,"swordsman","52","Melee attack","197","275","9","80","228",,,"Shadow","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29","Bastard Sword","bastard_sword","Wear","One-handed sword","main weapon","2","46905",,"swordsman","53","Melee attack","209","255","6","50","232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30","Skyabona","skyabona","Wear","One-handed sword","main weapon","3","53865",,"swordsman","57","Melee attack","228","280","10","70","248",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31","Claymore","claymore","Wear","One-handed sword","main weapon","3","63360",,"swordsman","60","Melee attack","249","306","10","100","260",,,"Water","60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32","Beginner's Bow","beginners_bow","Wear","Short bow","main weapon","0","3465",,"archer","15","Ranged attack","85","105","2","70","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33","Small Bow","small_bow","Wear","Short bow","main weapon","1","6240",,"archer","20","Ranged attack","85","115","2","70","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34","Bow of Speed","bow_of_speed","Wear","Short bow","main weapon","0","9984",,"archer","26","Ranged attack","109","147","6","80","124",,,,,,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35","Bamboo Bow","bamboo_bow","Wear","Short bow","main weapon","0","12180",,"archer","29","Ranged attack","116","156","2","70","136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36","Magic Bow","magic_bow","Wear","Short bow","main weapon","1","17680",,"archer","34","Ranged attack","133","179","2","70","156",,,,,,"8","25","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37","Oak Bow","oak_bow","Wear","Short bow","main weapon","1","19656",,"archer","36","Ranged attack","140","188","2","70","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38","Wind Bow","wind_bow","Wear","Short bow","main weapon","2","25760",,"archer","40","Ranged attack","153","207","10","130","180",,,"Water","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39","Horned Bow","horned_bow","Wear","Short bow","main weapon","1","28224",,"archer","42","Ranged attack","160","216","2","70","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40","Leather Bow","leather_bow","Wear","Short bow","main weapon","2","33488",,"archer","46","Ranged attack","174","247","8","170","204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41","Hunting Bow","hunting_bow","Wear","Short bow","main weapon","2","36288",,"archer","48","Ranged attack","181","243","2","70","212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42","Bow of Courage","bow_of_courage","Wear","Short bow","main weapon","3","45240",,"archer","52","Ranged attack","219","270","10","100","228",,,"Fire","30",,,"50","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43","Long Bow","long_bow","Wear","Short bow","main weapon","2","46905",,"archer","53","Ranged attack","198","266","2","70","232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44","Bronze Bow","bronze_bow","Wear","Short bow","main weapon","3","53865",,"archer","57","Ranged attack","221","291","11","140","248",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45","Bow of Spirit","bow_of_spirit","Wear","Short bow","main weapon","3","63360",,"archer","60","Ranged attack","239","316","11","120","260",,,,,,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46","Beginner's Wand","beginners_wand","Wear","Wand","main weapon","0","3465",,"mage","15","Magic attack","92","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47","Red Bead Wand","red_bead_wand","Wear","Wand","main weapon","0","6240",,"mage","20","Magic attack","92","108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48","Wand of Spirit","wand_of_spirit","Wear","Wand","main weapon","1","9984",,"mage","26","Magic attack","118","138",,,,,,,,,,,,,"200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49","Ruby Wand","ruby_wand","Wear","Wand","main weapon","0","12180",,"mage","29","Magic attack","126","146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50","Enchanted Magic Wand","enchanted_magic_wand","Wear","Wand","main weapon","1","17680",,"mage","34","Magic attack","144","168",,,,,,,,,,,,,"250",,,,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
